codigo_produto,Referência,descricao_produto,multiplo,ean13,ean14
12,2003,BOLA VINIL CX GALINHA,12,789945590033,789945590034
16,13,BOLA VINIL MARMORIZADA N 8 APOLO,120,7896557300136,7896557300137
17,19,BOLA VINIL VOLLEY BALL N 8 APOLO,60,7896557300198,7896557300199
18,21,BOLA VINIL FANTASIA N 8 APOLO,120,7896557300211,7896557300212
19,23,BOLA SUPER FUTEBOYS N 8 PESADA,60,7896557300235,7896557300236
20,24,BOLA MASTER N 8 APOLO,60,7896557300242,7896557300243
21,49,FOFOMOVEL CARROS - MCQUEEN,4,7898125110499,7898125110500
22,54,BOLA VINIL CX PATATI PATATA,12,7898125110543,7898125110544
23,72,JOGO DE BOLICHE PRINCESAS,6,7898125110727,7898125110728
24,84,BOLA FUTEBOL N 8 APOLO COR,120,7896557300846,7896557300847
25,85,BOLA FUTEBOL N 8 P/B APOLO,120,7896557300853,7896557300854
26,102,BOLA MARMORIZADA,120,7898125111021,7898125111022
27,112,BOLA SOCCER SORTIDA,120,7898125111120,7898125111121
28,113,BOLA SPORT BALL,120,7898125111137,7898125111138
29,120,BOLA CAMISA 10,60,7898125111205,7898125111206
30,121,BOLA ARTILHEIRO,60,7898125111212,7898125111213
31,135,BOLA BRASINHA,60,7898125111359,7898125111360
32,137,BOLA PINGO DE LEITE,120,7898125111373,7898125111374
33,140,BOLA VOLLEY STAR,60,7898125111403,7898125111404
34,141,BOLA MASTER,60,7898125111410,7898125111411
35,142,BOLA GOLACO,60,7898125111427,7898125111428
36,143,BOLA MINI FRISADA,240,7898125111434,7898125111435
37,144,BOLA GOLEADOR,60,7898125111441,7898125111442
38,150,POTE COM 20 BOLAS LISA,6,7898125111502,7898125111503
39,155,POTE COM 20 BOLAS CRAVO,3,7898125111557,7898125111558
40,160,BOLA PEROLIZADA,120,7898125111601,7898125111602
41,164,BOLA BRILHANTE,120,7898125111649,7898125111650
42,166,BOLA VINIL CONFETE N 8 APOLO,120,7896557301669,7896557301670
43,167,BOLA VINIL VIVACOR N 8 APOLO,120,7896557301676,7896557301677
44,170,BOLA EVA VOLLEY BALL,12,7896557301706,7896557301707
45,171,BOLA EVA FUTEBOL,12,7896557301713,7896557301714
46,174,KIT VOLEI,6,7896557301744,7896557301745
47,588,JOGO DE BOLICHE CARROS,6,7898125115883,7898125115884
48,663,BOLA EVA PRINCESAS,6,7898125116637,7898125116638
49,736,COLECAO TOP LINE,12,7898125117368,7898125117369
50,818,BONECA MANDINHA NA BANHEIRA,6,7896557308187,7896557308188
51,2535,EDUCAKIDS SPIDERMAN,6,7899455905359,7899455905360
52,2343,VENTURA OFF ROAD SHIRINKADO,6,7899455903430,7899455903431
53,2079,PIRAMIDE MUSICAL GALINHA,6,7899455900798,7899455900799
54,2445,LIQUIDIFICADOR BABY ALIV,6,7899455904451,7899455904452
55,220,COLECAO SPORT CAR SHIRINCADO,6,7898125112202,7898125112203
56,322,COLEÇÃO MOTO VELOCIDADE,12,7898125113223,7898125113224
57,422,KIT VOLEI BARBIE,6,7898125114220,7898125114221
58,176,BOLA MEGA BALL EVA,6,7896557301768,7896557301769
59,187,BOLA VINIL CAMPEAO N 8 APOLO,120,7896557301874,7896557301875
60,243,COLECAO PICK UP SHIRINCADO,6,7898125112431,7898125112432
61,315,BOLA DE VINIL NA CAIXA BEN10,12,7898125113155,7898125113156
62,273,BOLA EVA BARBIE,6,7898125112738,7898125112739
63,316,BOLA EVA BEN10,6,7898125113162,7898125113163
